Player,Pos,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
David Raya,GK,21,21,"1,890",0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,5,0,0,0,0,0,0,0,0,0,0,0,Matches
Martín Zubimendi,MF,21,20,"1,769",3,1,4,3,0,0,4,0,1.9,1.9,1.1,2.9,29,118,25,0.15,0.05,0.2,0.15,0.2,0.1,0.05,0.15,0.1,0.15,Matches
Declan Rice,MF,20,19,"1,696",4,3,7,4,0,0,1,0,2.5,2.5,3.5,6,54,134,50,0.21,0.16,0.37,0.21,0.37,0.13,0.18,0.32,0.13,0.32,Matches
Jurriën Timber,DF,20,18,"1,641",2,3,5,2,0,0,2,0,4,4,1.1,5,34,105,94,0.11,0.16,0.27,0.11,0.27,0.22,0.06,0.28,0.22,0.28,Matches
Bukayo Saka,FW,19,16,"1,422",4,3,7,3,1,1,1,0,5.3,4.6,4.9,9.4,77,39,205,0.25,0.19,0.44,0.19,0.38,0.34,0.31,0.65,0.29,0.6,Matches
William Saliba,DF,17,16,"1,354",0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,62,5,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches
Viktor Gyökeres,FW,19,16,"1,290",5,0,5,3,2,2,3,0,6.4,4.8,1.2,6,12,17,78,0.35,0,0.35,0.21,0.21,0.45,0.08,0.53,0.34,0.42,Matches
Riccardo Calafiori,DF,16,16,"1,255",1,2,3,1,0,0,5,0,2.5,2.5,0.5,3,23,48,56,0.07,0.14,0.22,0.07,0.22,0.18,0.04,0.21,0.18,0.21,Matches
Gabriel Magalhães,DF,15,14,"1,266",3,2,5,3,0,0,1,0,1.6,1.6,1.4,3,10,58,3,0.21,0.14,0.36,0.21,0.36,0.11,0.1,0.21,0.11,0.21,Matches
Leandro Trossard,FW,17,12,"1,131",5,4,9,5,0,0,1,0,4,4,2.2,6.2,39,50,127,0.4,0.32,0.72,0.4,0.72,0.32,0.18,0.49,0.32,0.49,Matches
Eberechi Eze,"MF,FW",15,11,923,4,2,6,4,0,0,0,0,2.3,2.3,1.2,3.5,24,42,44,0.39,0.2,0.59,0.39,0.59,0.22,0.12,0.34,0.22,0.34,Matches
Martin Ødegaard,MF,15,11,874,1,3,4,1,0,0,0,0,0.9,0.9,2.4,3.3,27,102,27,0.1,0.31,0.41,0.1,0.41,0.09,0.25,0.33,0.09,0.33,Matches
Mikel Merino,"MF,FW",19,10,940,3,3,6,3,0,0,1,0,2.1,2.1,1.4,3.5,14,38,33,0.29,0.29,0.57,0.29,0.57,0.2,0.14,0.34,0.2,0.34,Matches
Piero Hincapié,DF,12,10,891,0,0,0,0,0,0,2,0,0,0,0.7,0.7,9,26,16,0,0,0,0,0,0,0.07,0.07,0,0.07,Matches
Noni Madueke,FW,12,6,510,0,0,0,0,0,0,0,0,0.5,0.5,1.4,2,35,16,74,0,0,0,0,0,0.1,0.25,0.35,0.1,0.35,Matches
Gabriel Martinelli,FW,16,6,510,1,0,1,1,0,0,2,0,2.1,2.1,0.3,2.4,21,15,39,0.18,0,0.18,0.18,0.18,0.37,0.05,0.42,0.37,0.42,Matches
Cristhian Mosquera,DF,10,4,433,0,0,0,0,0,0,1,0,0,0,0.1,0.1,8,15,2,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Ben White,DF,5,4,288,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.1,6,21,11,0,0.31,0.31,0,0.31,0.12,0.24,0.35,0.12,0.35,Matches
Myles Lewis-Skelly,DF,14,1,321,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,5,7,10,0,0,0,0,0,0.01,0.04,0.05,0.01,0.05,Matches
Ethan Nwaneri,MF,6,0,171,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,7,14,6,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,Matches
Gabriel Jesus,FW,6,0,122,1,0,1,1,0,0,1,0,0.5,0.5,0,0.5,8,3,10,0.74,0,0.74,0.74,0.74,0.36,0,0.36,0.36,0.36,Matches
Christian Nørgaard,MF,3,0,33,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,1,0,0,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
Kai Havertz,FW,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,Matches
Max Dowman,FW,2,0,29,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,0,6,0,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
Andre Annous,FW,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kepa Arrizabalaga,GK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jakub Kiwior,"DF,MF",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marli Salmon,DF,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
